Supplier_ID,Supplier_Name,Country,Region,On_Time_Delivery_Rate,Certification_Level,Preferred_Supplier_Flag
SUP00001,Beta Gamma Corp,USA,West,0.75,None,0
SUP00002,Eco Gamma GmbH,China,South,0.8,ISO 9001,0
SUP00003,Ultra Ultra GmbH,India,Central,0.62,ISO 14001,1
SUP00004,Gamma Nova LLC,USA,North,0.66,ISO 9001,0
SUP00005,Ultra Gamma LLC,Canada,North,0.89,ISO 9001,1
SUP00006,Apex Fusion Ltd,USA,East,0.63,ISO 14001,1
SUP00007,Fusion Gamma LLC,China,East,0.84,ISO 9001,1
SUP00008,Omega Gamma Ltd,USA,Central,0.7,None,0
SUP00009,Nano Vertex LLC,China,North,0.75,ISO 9001,1
SUP00010,Nova Alpha Corp,Denmark,Central,0.71,None,0
SUP00011,Alpha Prime Ltd,UK,East,0.74,None,1
SUP00012,Delta Vertex LLC,China,East,0.88,None,0
SUP00013,Fusion Fusion LLC,China,North,0.72,ISO 45001,1
SUP00014,Ultra Apex LLC,Germany,West,0.82,ISO 9001,0
SUP00015,Ultra Eco LLC,China,South,0.79,ISO 14001,1
SUP00016,Prime Gamma Inc,China,East,0.86,ISO 14001,0
SUP00017,Nova Alpha Ltd,India,East,0.97,ISO 9001,0
SUP00018,Omega Alpha Corp,UK,West,0.89,ISO 45001,0
SUP00019,Delta Fusion Corp,Denmark,West,0.68,ISO 45001,0
SUP00020,Gamma Quantum LLC,Canada,Central,0.61,None,1
SUP00021,Nova Eco LLC,Germany,Central,0.7,ISO 9001,1
SUP00022,Fusion Fusion Inc,India,South,0.83,ISO 9001,0
SUP00023,Nova Beta Corp,Brazil,South,0.62,ISO 14001,1
SUP00024,Quantum Fusion Corp,UK,North,0.79,ISO 9001,0
SUP00025,Fusion Vertex Inc,Denmark,Central,0.83,ISO 45001,0
SUP00026,Quantum Eco LLC,Denmark,East,0.73,ISO 9001,1
SUP00027,Fusion Delta LLC,Brazil,Central,0.9,ISO 14001,0
SUP00028,Beta Eco Ltd,Canada,East,0.64,None,0
SUP00029,Omega Vertex Inc,China,West,0.63,ISO 14001,1
SUP00030,Prime Omega Corp,India,Central,0.88,ISO 14001,0
SUP00031,Vertex Vertex Inc,USA,West,0.79,None,0
SUP00032,Prime Vertex Inc,Germany,South,0.87,ISO 14001,0
SUP00033,Quantum Quantum Ltd,USA,South,0.77,ISO 14001,0
SUP00034,Delta Quantum GmbH,Brazil,North,0.7,ISO 9001,1
SUP00035,Eco Nano GmbH,Denmark,Central,0.92,ISO 9001,1
